
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,24,17,10,15,10,2,84,72,64,30.17,29.95,29.84,10,8,2,15,11,24,0.00,6,Snow,250<br />
2015-1-2,26,14,1,14,2,-5,77,58,31,30.35,30.26,30.16,10,10,10,7,4,,0.00,1,,192<br />
2015-1-3,30,24,19,26,22,16,96,85,74,30.13,29.96,29.83,10,3,1,12,4,,0.08,8,Snow,114<br />
2015-1-4,28,10,-9,22,3,-20,85,71,51,30.54,30.09,29.84,10,5,1,22,15,30,0.01,6,Snow,327<br />
2015-1-5,0,-7,-14,-7,-14,-21,75,67,54,30.62,30.48,30.32,10,7,2,13,7,,0.01,4,Snow,248<br />
2015-1-6,9,0,-8,-4,-8,-13,79,66,52,30.43,30.33,30.19,10,10,5,20,9,26,0.00,3,Snow,281<br />
2015-1-7,0,-4,-9,-13,-19,-22,68,55,46,30.85,30.72,30.47,10,10,10,21,15,28,0.00,0,,294<br />
2015-1-8,8,0,-9,2,-5,-17,80,72,57,30.54,29.89,29.64,10,4,0,21,11,28,0.03,6,Snow,219<br />
2015-1-9,6,2,-2,-1,-11,-14,73,60,50,30.36,30.20,29.92,10,9,2,23,16,32,0.00,3,Snow,288<br />
2015-1-10,18,4,-9,7,-4,-14,80,66,51,30.35,30.26,30.16,10,9,4,12,8,,0.00,4,,205<br />
2015-1-11,21,16,10,10,6,-1,84,64,37,30.37,30.26,30.14,10,10,7,10,3,17,0.00,6,Snow,328<br />
2015-1-12,12,2,-7,1,-5,-12,83,67,51,30.85,30.64,30.41,10,10,10,16,9,23,0.00,0,,338<br />
2015-1-13,15,0,-14,3,-8,-20,86,75,59,30.86,30.72,30.45,10,9,7,8,1,,0.00,1,,196<br />
2015-1-14,21,10,0,14,8,-6,84,77,68,30.42,30.25,30.11,10,9,1,10,5,,0.00,7,Snow,213<br />
2015-1-15,36,28,19,24,19,14,81,72,57,30.09,29.98,29.85,10,8,1,15,9,,0.00,5,Snow,246<br />
2015-1-16,28,24,19,21,12,9,78,65,53,30.23,30.10,29.87,10,10,5,15,9,23,0.00,8,Snow,90<br />
2015-1-17,39,32,25,29,25,19,85,75,63,29.85,29.60,29.46,10,8,3,20,9,30,0.00,5,,209<br />
2015-1-18,37,34,32,26,24,20,75,67,57,30.02,29.80,29.62,10,10,10,13,10,,0.00,8,,296<br />
2015-1-19,30,26,23,22,20,17,88,75,61,30.05,29.97,29.88,10,8,2,10,7,,0.01,7,Snow,98<br />
2015-1-20,27,25,23,21,20,18,88,82,78,30.08,29.99,29.87,10,8,1,10,7,,0.03,8,Snow,86<br />
2015-1-21,26,24,21,22,20,17,89,81,71,30.31,30.15,30.00,10,8,3,9,5,,0.00,8,,37<br />
2015-1-22,30,27,24,21,19,16,81,72,61,30.46,30.37,30.26,10,10,10,17,8,24,0.00,5,,263<br />
2015-1-23,34,30,25,24,22,19,81,73,61,30.26,29.97,29.75,10,10,7,18,12,24,0.00,7,,241<br />
2015-1-24,35,32,30,31,28,24,92,83,76,29.77,29.68,29.60,10,8,2,13,6,,0.00,8,Snow,268<br />
2015-1-25,28,19,10,24,10,4,82,66,52,30.15,29.99,29.76,10,10,10,17,11,23,0.00,6,,83<br />
2015-1-26,23,16,9,20,15,4,93,83,70,30.07,29.89,29.78,10,5,0,9,5,,0.08,7,Rain-Snow,149<br />
2015-1-27,26,24,21,21,20,19,92,85,78,30.28,30.17,29.95,10,7,2,7,4,,0.00,8,,65<br />
2015-1-28,30,27,24,22,20,19,86,78,66,30.26,30.08,29.85,10,8,5,13,6,21,0.00,7,,143<br />
2015-1-29,33,26,19,25,21,8,93,75,54,30.46,30.01,29.80,10,7,1,23,7,38,0.00,8,,324<br />
2015-1-30,19,14,9,8,4,1,73,61,50,30.58,30.47,30.30,10,10,9,12,7,,0.00,4,,255<br />
2015-1-31,28,21,14,18,14,5,74,67,62,30.27,30.23,30.15,10,10,10,16,4,,0.00,8,,49<br />
