3/1/2015	24	7
3/2/2015	27	3
3/3/2015	28	17
3/4/2015	12	0
3/5/2015	14	-11
3/6/2015	32	-4
3/7/2015	41	12
3/8/2015	46	16
3/9/2015	55	24
3/10/2015	64	30
3/11/2015	55	25
3/12/2015	60	30
3/13/2015	69	39
3/14/2015	55	32
3/15/2015	63	27
3/16/2015	63	41
3/17/2015	43	28
3/18/2015	46	25
3/19/2015	48	30
3/20/2015	55	34
3/21/2015	43	30
3/22/2015	39	28
3/23/2015	39	25
3/24/2015	48	18
3/25/2015	39	27
3/26/2015	35	19
3/27/2015	33	12
3/28/2015	42	10
3/29/2015	42	30
3/30/2015	55	32
3/31/2015	62	30
4/1/2015	77	32
4/2/2015	66	50
4/3/2015	48	26
4/4/2015	54	26
4/5/2015	50	35
4/6/2015	46	30
4/7/2015	46	35
4/8/2015	41	35
4/9/2015	42	36
4/10/2015	52	33
4/11/2015	64	27
4/12/2015	73	46
4/13/2015	64	46
4/14/2015	68	30
4/15/2015	66	37
4/16/2015	73	36
4/17/2015	78	46
4/18/2015	64	43
4/19/2015	72	46
4/20/2015	48	35
4/21/2015	41	32
4/22/2015	45	28
4/23/2015	53	26
4/24/2015	60	26
4/25/2015	57	36
4/26/2015	64	33
4/27/2015	69	33
4/28/2015	70	33
4/29/2015	66	39
4/30/2015	64	37
5/1/2015	71	35
5/2/2015	79	55
5/3/2015	81	53
5/4/2015	73	52
5/5/2015	66	48
5/6/2015	77	51
5/7/2015	82	61
5/8/2015	71	55
5/9/2015	66	52
5/10/2015	62	44
5/11/2015	66	46
5/12/2015	53	39
5/13/2015	63	30
5/14/2015	64	42
5/15/2015	68	50
5/16/2015	82	50
5/17/2015	79	64
5/18/2015	66	43
5/19/2015	54	36
5/20/2015	57	28
5/21/2015	75	37
5/22/2015	73	39
5/23/2015	81	46
5/24/2015	66	53
5/25/2015	79	57
5/26/2015	71	59
5/27/2015	79	57
5/28/2015	84	52
5/29/2015	80	61
5/30/2015	63	48
5/31/2015	64	37
6/1/2015	68	41
6/2/2015	75	39
6/3/2015	78	50
6/4/2015	73	61
6/5/2015	73	55
6/6/2015	77	46
6/7/2015	82	60
6/8/2015	80	57
6/9/2015	89	54
6/10/2015	79	60
6/11/2015	64	55
6/12/2015	75	55
6/13/2015	66	55
6/14/2015	81	62
6/15/2015	79	61
6/16/2015	75	54
6/17/2015	81	57
6/18/2015	81	62
6/19/2015	75	54
6/20/2015	75	54
6/21/2015	82	57
6/22/2015	84	57
6/23/2015	78	55
6/24/2015	82	53
6/25/2015	82	61
6/26/2015	78	57
6/27/2015	81	55
6/28/2015	71	61
6/29/2015	79	59
6/30/2015	73	55
7/1/2015	72	46
7/2/2015	75	50
7/3/2015	78	48
7/4/2015	82	57
7/5/2015	84	63
7/6/2015	80	61
7/7/2015	72	52
7/8/2015	75	48
7/9/2015	79	52
7/10/2015	82	55
7/11/2015	80	60
7/12/2015	87	60
7/13/2015	86	64
7/14/2015	82	62
7/15/2015	79	48
7/16/2015	73	57
7/17/2015	88	68
7/18/2015	90	66
7/19/2015	82	62
7/20/2015	84	63
7/21/2015	80	54
7/22/2015	82	55
7/23/2015	84	57
7/24/2015	81	62
7/25/2015	87	64
7/26/2015	84	62
7/27/2015	88	55
7/28/2015	84	66
7/29/2015	84	66
7/30/2015	88	62
7/31/2015	82	62
