
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-6-1,68,54,41,40,34,23,79,50,19,30.35,30.28,30.21,10,10,10,13,6,17,0.00,0,,111<br />
2015-6-2,75,57,39,44,37,29,83,48,20,30.22,30.14,30.03,10,10,10,14,6,21,0.00,0,,177<br />
2015-6-3,78,62,50,58,51,44,80,59,46,30.04,29.97,29.90,10,10,10,15,7,21,0.00,2,Rain,172<br />
2015-6-4,73,68,61,61,60,59,94,83,64,30.06,29.95,29.88,10,9,4,12,7,18,0.10,7,Rain,255<br />
2015-6-5,73,64,55,59,53,45,90,72,44,30.22,30.16,30.05,10,10,2,12,5,,0.00,4,,76<br />
2015-6-6,77,60,46,52,47,40,79,59,41,30.25,30.11,29.87,10,10,10,14,7,21,0.00,0,,141<br />
2015-6-7,82,71,60,65,58,51,94,76,39,29.83,29.68,29.63,10,8,1,15,8,23,0.95,6,Rain-Thunderstorm,215<br />
2015-6-8,80,68,57,59,56,47,94,74,39,29.79,29.72,29.66,10,9,1,18,7,36,0.33,4,Rain-Thunderstorm,304<br />
2015-6-9,89,71,54,65,56,51,93,75,28,29.81,29.73,29.57,10,6,0,9,1,,0.05,3,Fog-Rain-Thunderstorm,219<br />
2015-6-10,79,70,60,62,55,50,83,59,36,29.87,29.74,29.56,10,10,10,16,8,20,0.00,0,,320<br />
2015-6-11,64,60,55,57,54,50,94,84,58,29.99,29.92,29.85,10,9,4,15,8,21,0.67,7,Rain,85<br />
2015-6-12,75,64,55,55,52,50,93,73,44,29.99,29.92,29.86,10,10,10,15,10,20,0.07,5,Rain,81<br />
2015-6-13,66,60,55,62,57,50,93,87,77,29.98,29.95,29.91,10,8,2,9,6,,0.06,7,Rain,124<br />
2015-6-14,81,70,62,65,62,59,93,79,50,29.94,29.92,29.87,10,7,0,7,2,,0.00,6,Fog,287<br />
2015-6-15,79,70,61,67,63,57,93,84,68,30.07,29.96,29.90,10,8,1,16,5,26,0.87,3,Rain-Thunderstorm,335<br />
2015-6-16,75,64,54,55,49,46,84,58,37,30.21,30.15,30.09,10,10,10,9,6,,0.00,1,,21<br />
2015-6-17,81,68,57,61,54,48,87,59,42,30.10,29.99,29.91,10,10,10,12,5,,0.00,1,,192<br />
2015-6-18,81,71,62,63,58,48,90,72,32,30.12,29.95,29.87,10,10,10,14,5,21,0.00,5,Rain,320<br />
2015-6-19,75,64,54,52,44,36,78,50,32,30.18,30.10,29.97,10,10,10,12,6,,0.00,2,,115<br />
2015-6-20,75,64,54,62,54,46,87,69,56,29.99,29.84,29.74,10,10,9,12,5,,0.08,4,Rain,196<br />
2015-6-21,82,70,57,63,58,55,96,83,42,29.94,29.87,29.80,10,4,0,16,2,23,0.00,2,Fog,294<br />
2015-6-22,84,70,57,67,62,51,90,78,52,29.94,29.76,29.64,10,9,4,21,7,29,0.50,4,Rain-Thunderstorm,197<br />
2015-6-23,78,66,55,56,50,45,87,58,32,30.11,30.05,29.88,10,10,10,14,10,23,0.00,0,,319<br />
2015-6-24,82,68,53,58,54,51,93,69,36,30.15,30.09,30.01,10,9,2,10,2,,0.00,0,,212<br />
2015-6-25,82,72,61,63,60,55,94,78,39,30.04,30.01,29.97,10,7,1,22,4,36,0.75,3,Rain-Thunderstorm,67<br />
2015-6-26,78,68,57,60,58,56,93,76,50,30.12,30.08,30.03,10,9,2,13,6,,0.09,2,Rain-Thunderstorm,82<br />
2015-6-27,81,67,55,57,52,43,94,64,28,30.09,30.04,29.95,10,8,1,10,3,,0.00,2,,70<br />
2015-6-28,71,66,61,62,56,49,87,77,62,29.94,29.88,29.83,10,8,2,9,5,,0.91,6,Rain,159<br />
2015-6-29,79,69,59,60,58,54,93,80,48,29.84,29.81,29.77,10,9,2,20,3,32,0.24,5,Rain-Thunderstorm,320<br />
2015-6-30,73,64,55,58,54,46,94,72,44,29.97,29.88,29.80,10,9,5,16,7,23,0.00,4,,354<br />
